recipe_slug	score_bound	reward
apple-crumble	7.483314773547883	1.0
ramen	7.211102550927978	0.5
ma-la-chicken	7.211102550927978	0.0
quesadillas	7.211102550927978	0.75
spamburger	6.928203230275509	0.0
bacon-fried-rice	6.928203230275509	1.0
pain-au-chocolat	6.928203230275509	1.0
nacho-fries	6.928203230275509	0.25
chocolate-babka	6.928203230275509	1.0
dan-dan-noodles	6.928203230275509	0.5
apple-crisp	6.6332495807108	1.0
cranberry-apple-crisp	6.6332495807108	1.0
guacamole	6.6332495807108	1.0
asparagus-quiche	6.6332495807108	0.0
asparagus-burger	6.6332495807108	0.0
tacos	6.6332495807108	0.75
fajitas	6.6332495807108	0.75
nacho-salad	6.6332495807108	0.0
apple-pie	6.6332495807108	1.0
strawberry-rhubarb-crisp	6.6332495807108	1.0
cranberry-sauce	6.6332495807108	0.5
taco-salad	6.6332495807108	0.0
cranberry-relish	6.6332495807108	0.0
mushroom-quiche	6.6332495807108	0.25
bacon-wrapped-chicken	6.6332495807108	1.0
brioche-bread	6.324555320336759	0.75
cold-noodles-with-tomatoes	6.324555320336759	0.0
tamales	6.324555320336759	0.0
nachos	6.324555320336759	1.0
spinach-quiche	6.324555320336759	0.25
bacon-wrapped-asparagus	6.324555320336759	1.0
bacon-wrapped-scallops	6.0	1.0
breakfast-burritos	6.0	0.75
croissants	6.0	0.75
brioche-bread-with-chocolate	6.0	1.0
chicken-nuggets	6.0	1.0
almond-croissants	6.0	0.25
quiche-lorraine	6.0	0.0
spinach-and-feta-quiche	6.0	0.25
berry-crisp	6.0	0.5
bacon-mac-and-cheese	6.0	1.0
sujebi	5.656854249492381	0.0
brownies	5.656854249492381	1.0
bacon-egg-muffins	5.656854249492381	1.0
souffle	5.656854249492381	0.5
peanut-butter-cupcakes	5.656854249492381	1.0
chocolate-peanut-butter-cake	5.656854249492381	1.0
cold-soba-noodles-with-tomato-and-cucumber	5.656854249492381	0.0
peach-crisp	5.656854249492381	1.0
blueberry-crisp	5.656854249492381	1.0
chocolate-croissants	5.656854249492381	1.0
french-toast	5.656854249492381	1.0
spam-musubi	5.656854249492381	0.0
croissant-aux-amandes	5.656854249492381	0.25
danishes	5.656854249492381	0.5
bacon-wrapped-dates	5.656854249492381	1.0
cherry-pie	5.656854249492381	0.75
bacon-wrapped-shrimp-skewers	5.656854249492381	1.0
falafel	5.291502622129181	0.5
chicken-fingers	5.291502622129181	1.0
bacon-souffle	5.291502622129181	1.0
enchiladas	5.291502622129181	0.25
pickled-asparagus	5.291502622129181	0.0
udon	5.291502622129181	0.75
maple-bacon-donuts	5.291502622129181	1.0
maple-bacon-pancakes	5.291502622129181	1.0
pico-de-gallo	5.291502622129181	0.5
loaded-nachos	5.291502622129181	0.75
lasagna	5.291502622129181	0.5
nacho-dip	5.291502622129181	0.75
berry-crumble	5.291502622129181	1.0
cherry-cobbler	5.291502622129181	0.5
cinnamon-babka	5.291502622129181	0.75
ma-la-beef	5.291502622129181	0.25
chocolate-cake	5.291502622129181	1.0
soba-noodle-salad-with-peanut-dressing	5.291502622129181	0.5
vanilla-souffle	5.291502622129181	0.5
bacon-and-egg-breakfast-sandwich	5.291502622129181	1.0
chicken-alfredo-lasagna	5.291502622129181	1.0
classic-beef-lasagna	5.291502622129181	1.0
vegetarian-mushroom-lasagna	5.291502622129181	0.25
spinach-and-ricotta-lasagna	5.291502622129181	0.25
bacon-chocolate-chip-cookies	4.898979485566356	1.0
pasta-primavera	4.898979485566356	0.25
bolognese-sauce	4.898979485566356	0.75
chocolate-souffle	4.898979485566356	0.75
butter-croissants	4.898979485566356	0.75
pickled-green-beans	4.898979485566356	0.25
fried-oysters	4.898979485566356	0.0
peanut-butter-brownies	4.898979485566356	1.0
almond-chip-cookies	4.898979485566356	0.25
burritos	4.898979485566356	1.0
vegetable-lasagna	4.898979485566356	0.25
spinach-and-ricotta-stuffed-shells	4.898979485566356	0.5
nacho-casserole	4.898979485566356	0.25
tempura-udon	4.898979485566356	0.75
peach-cobbler	4.898979485566356	1.0
blueberry-crumble	4.898979485566356	0.5
chiles-rellenos	4.898979485566356	0.25
cold-sesame-noodles	4.898979485566356	0.0
